"Duration","Start.date","Start.Station","End.date","End.Station","Bike.","Member.Type"
"0h 8m 48s","2/21/2014 10:53","20th & E St NW","2/21/2014 11:02","14th & Rhode Island Ave NW","W01419","Registered"
"1h 40m 55s","3/15/2014 15:49","19th St & Pennsylvania Ave NW","3/15/2014 17:30","14th & D St NW / Ronald Reagan Building","W21163","Casual"
"0h 10m 0s","3/7/2014 18:22","Park Rd & Holmead Pl NW","3/7/2014 18:32","Lamont & Mt Pleasant NW","W01345","Registered"
"0h 28m 39s","3/22/2014 17:34","Maryland & Independence Ave SW","3/22/2014 18:03","4th & East Capitol St NE","W00634","Casual"
"0h 7m 25s","3/21/2014 17:47","Montgomery & East Ln","3/21/2014 17:54","Offutt Ln & Chevy Chase Dr","W00796","Registered"
"0h 8m 14s","3/21/2014 18:35","Thomas Circle","3/21/2014 18:43","20th & E St NW","W01334","Registered"
"0h 4m 28s","3/11/2014 13:29","Lincoln Park / 13th & East Capitol St NE ","3/11/2014 13:33","Eastern Market Metro / Pennsylvania Ave & 7th St SE","W00507","Registered"
"0h 17m 3s","2/15/2014 0:57","Fairfax Dr & Wilson Blvd","2/15/2014 1:14","N Quincy St & Glebe Rd","W21017","Registered"
"0h 6m 1s","1/28/2014 7:14","Columbus Circle / Union Station","1/28/2014 7:20","3rd St & Pennsylvania Ave SE","W00519","Registered"
"0h 5m 50s","1/27/2014 9:35","16th & Harvard St NW","1/27/2014 9:41","13th & U St NW","W00920","Registered"
"0h 10m 4s","1/9/2014 18:14","11th & K St NW","1/9/2014 18:24","19th & K St NW","W20383","Registered"
"1h 29m 36s","3/15/2014 16:25","Jefferson Memorial","3/15/2014 17:55","10th St & Constitution Ave NW","W00403","Casual"
"0h 13m 57s","2/2/2014 13:55","D St & Maryland Ave NE","2/2/2014 14:09","Convention Center / 7th & M St NW","W20594","Registered"
"0h 18m 54s","2/27/2014 17:59","20th St & Virginia Ave NW","2/27/2014 18:18","Rosslyn Metro / Wilson Blvd & Ft Myer Dr","W21354","Registered"
"0h 24m 57s","3/26/2014 9:10","Connecticut & Nebraska Ave NW","3/26/2014 9:35","22nd & I St NW / Foggy Bottom","W00354","Registered"
"0h 11m 17s","3/14/2014 9:34","17th & Corcoran St NW","3/14/2014 9:45","McPherson Square / 14th & H St NW","W01146","Registered"
"0h 2m 1s","1/31/2014 8:18","Eastern Market Metro / Pennsylvania Ave & 7th St SE","1/31/2014 8:20","8th & Eye St SE / Barracks Row","W20736","Registered"
"1h 6m 4s","3/15/2014 13:22","Constitution Ave & 2nd St NW/DOL","3/15/2014 14:28","21st & M St NW","W21232","Casual"
"0h 18m 17s","3/15/2014 13:49","3rd St & Pennsylvania Ave SE","3/15/2014 14:07","7th & F St NW / National Portrait Gallery","W01342","Casual"
"0h 23m 3s","2/1/2014 13:17","Ballston Metro / N Stuart & 9th St N","2/1/2014 13:40","S Arlington Mill Dr & Campbell Ave","W20841","Casual"
"0h 14m 51s","3/22/2014 15:28","21st St & Pennsylvania Ave NW","3/22/2014 15:43","14th & Rhode Island Ave NW","W20539","Casual"
"0h 2m 26s","3/5/2014 12:41","Central Library / N Quincy St & 10th St N","3/5/2014 12:43","Virginia Square Metro / N Monroe St & 9th St N","W20208","Registered"
"0h 7m 9s","3/8/2014 17:58","17th & Rhode Island Ave NW","3/8/2014 18:05","13th & U St NW","W01262","Registered"
"0h 6m 4s","2/8/2014 19:44","16th & Harvard St NW","2/8/2014 19:50","18th St & Wyoming Ave NW","W20163","Registered"
"0h 6m 22s","1/27/2014 18:27","Columbus Circle / Union Station","1/27/2014 18:33","13th & D St NE","W01313","Registered"
"0h 3m 1s","1/13/2014 12:07","17th & Corcoran St NW","1/13/2014 12:10","15th & P St NW","W20328","Registered"
"0h 11m 18s","1/13/2014 13:22","North Capitol St & F St NW","1/13/2014 13:33","Maryland & Independence Ave SW","W20214","Casual"
"0h 14m 20s","3/20/2014 20:28","15th & K St NW","3/20/2014 20:42","D St & Maryland Ave NE","W20388","Registered"
"0h 21m 52s","3/23/2014 17:58","Maryland & Independence Ave SW","3/23/2014 18:20","Ohio Dr & West Basin Dr SW / MLK & FDR Memorials","W01170","Casual"
"0h 21m 8s","2/23/2014 17:05","Harvard St & Adams Mill Rd NW","2/23/2014 17:26","Georgetown Harbor / 30th St NW","W20671","Registered"
"0h 26m 47s","3/9/2014 14:33","Central Library / N Quincy St & 10th St N","3/9/2014 14:59","S George Mason Dr & 13th St S","W21341","Casual"
"0h 3m 58s","1/11/2014 13:43","8th & East Capitol St NE","1/11/2014 13:47","4th & East Capitol St NE","w00527","Registered"
"0h 3m 31s","3/13/2014 8:43","14th St & Spring Rd NW","3/13/2014 8:46","Park Rd & Holmead Pl NW","W00115","Registered"
"0h 17m 38s","3/27/2014 10:26","10th & U St NW","3/27/2014 10:44","18th St & Pennsylvania Ave NW","W01152","Registered"
"0h 7m 5s","3/19/2014 13:25","11th & K St NW","3/19/2014 13:32","1st & H St NW","W21382","Registered"
"0h 5m 42s","3/17/2014 19:06","L'Enfant Plaza / 7th & C St SW","3/17/2014 19:12","4th & M St SW","W00395","Registered"
"0h 10m 14s","3/1/2014 12:24","Eastern Market / 7th & North Carolina Ave SE","3/1/2014 12:34","Columbus Circle / Union Station","W00113","Registered"
"0h 11m 27s","2/5/2014 11:15","4th & East Capitol St NE","2/5/2014 11:26","Maryland & Independence Ave SW","W00422","Casual"
"0h 7m 18s","3/10/2014 8:47","20th St & Florida Ave NW","3/10/2014 8:54","M St & Pennsylvania Ave NW","W01080","Registered"
"0h 16m 40s","2/1/2014 21:33","Thomas Circle","2/1/2014 21:49","M St & Pennsylvania Ave NW","W21580","Casual"
"0h 12m 27s","2/25/2014 22:40","M St & Pennsylvania Ave NW","2/25/2014 22:53","22nd & I St NW / Foggy Bottom","W00068","Registered"
"0h 14m 21s","1/15/2014 18:07","21st & M St NW","1/15/2014 18:22","5th St & Massachusetts Ave NW","W20002","Registered"
"0h 4m 31s","2/19/2014 19:54","N Adams St & Lee Hwy","2/19/2014 19:59","Court House Metro / Wilson Blvd & N Uhle St","W01104","Registered"
"0h 51m 19s","3/31/2014 15:37","C & O Canal & Wisconsin Ave NW","3/31/2014 16:28","Jefferson Memorial","W20073","Casual"
"0h 14m 44s","2/20/2014 18:39","17th & K St NW","2/20/2014 18:54","14th & Belmont St NW","W21143","Registered"
"0h 12m 3s","3/14/2014 11:51","20th & E St NW","3/14/2014 12:03","11th & F St NW","W00373","Registered"
"0h 8m 57s","2/21/2014 19:02","15th & K St NW","2/21/2014 19:11","Massachusetts Ave & Dupont Circle NW","W01040","Registered"
"0h 9m 42s","1/18/2014 9:48","Thomas Circle","1/18/2014 9:58","25th St & Pennsylvania Ave NW","W21256","Registered"
"0h 10m 30s","2/6/2014 14:28","Connecticut & Nebraska Ave NW","2/6/2014 14:38","Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir","W01310","Registered"
"0h 11m 11s","3/11/2014 22:27","Park Rd & Holmead Pl NW","3/11/2014 22:39","14th St & Colorado Ave NW","W20142","Registered"
"0h 3m 16s","2/24/2014 15:04","17th & Corcoran St NW","2/24/2014 15:08","New Hampshire Ave & T St NW","W20630","Registered"
"0h 21m 27s","3/22/2014 22:39","Lincoln Memorial","3/22/2014 23:00","1st & K St SE","W00903","Registered"
"0h 7m 41s","1/19/2014 17:22","15th & P St NW","1/19/2014 17:30","11th & F St NW","W01012","Registered"
"0h 13m 18s","1/17/2014 18:16","17th & K St NW / Farragut Square","1/17/2014 18:30","M St & Pennsylvania Ave NW","W00281","Casual"
"0h 7m 57s","1/4/2014 22:56","8th & F St NE","1/4/2014 23:04","3rd St & Pennsylvania Ave SE","W20762","Registered"
"0h 7m 21s","3/1/2014 12:14","1st & H St NW","3/1/2014 12:21","3rd & H St NE","W20184","Registered"
"0h 4m 48s","3/7/2014 12:13","18th St & Pennsylvania Ave NW","3/7/2014 12:18","14th & G St NW","W21305","Registered"
"0h 3m 9s","3/22/2014 8:53","Florida Ave & R St NW","3/22/2014 8:56","7th & R St NW / Shaw Library","W20625","Registered"
"0h 7m 24s","2/25/2014 8:22","19th & L St NW","2/25/2014 8:29","14th & D St NW / Ronald Reagan Building","W21573","Registered"
"0h 15m 2s","2/16/2014 19:16","8th & H St NW","2/16/2014 19:31","M St & Delaware Ave NE","W21155","Registered"
"0h 18m 22s","3/25/2014 19:19","14th & D St NW / Ronald Reagan Building","3/25/2014 19:37","16th & Harvard St NW","W21343","Registered"
"0h 13m 46s","2/9/2014 14:41","Massachusetts Ave & Dupont Circle NW","2/9/2014 14:54","15th & K St NW","W21565","Registered"
"1h 41m 9s","3/15/2014 15:49","18th St & Pennsylvania Ave NW","3/15/2014 17:30","14th & D St NW / Ronald Reagan Building","W00746","Casual"
"0h 16m 50s","3/16/2014 14:36","17th & Rhode Island Ave NW","3/16/2014 14:53","8th & H St NW","W20874","Casual"
"1h 13m 34s","2/2/2014 12:55","Harvard St & Adams Mill Rd NW","2/2/2014 14:09","Harvard St & Adams Mill Rd NW","W20672","Registered"
"0h 3m 40s","2/24/2014 9:01","Wilson Blvd & Franklin Rd","2/24/2014 9:05","Court House Metro / Wilson Blvd & N Uhle St","W20034","Registered"
"0h 3m 49s","1/28/2014 15:52","20th & O St NW / Dupont South","1/28/2014 15:56","18th & M St NW","W00120","Registered"
"0h 6m 13s","3/22/2014 17:32","3rd St & Pennsylvania Ave SE","3/22/2014 17:38","Eastern Market Metro / Pennsylvania Ave & 7th St SE","W20929","Casual"
"2h 39m 4s","3/7/2014 11:55","10th St & Constitution Ave NW","3/7/2014 14:34","Maryland & Independence Ave SW","W00245","Casual"
"0h 6m 46s","2/10/2014 18:41","21st St & Pennsylvania Ave NW","2/10/2014 18:47","Massachusetts Ave & Dupont Circle NW","W00353","Registered"
"0h 6m 17s","2/18/2014 18:02","L'Enfant Plaza / 7th & C St SW","2/18/2014 18:08","Jefferson Memorial","W01438","Registered"
"0h 31m 10s","3/24/2014 12:01","Maryland & Independence Ave SW","3/24/2014 12:33","Georgetown Harbor / 30th St NW","W21266","Casual"
"0h 5m 29s","3/21/2014 16:45","Eastern Market Metro / Pennsylvania Ave & 7th St SE","3/21/2014 16:50","3rd St & Pennsylvania Ave SE","W01241","Casual"
"0h 4m 0s","3/8/2014 12:26","20th St & Florida Ave NW","3/8/2014 12:30","17th & Corcoran St NW","W21245","Registered"
"0h 18m 21s","2/21/2014 17:20","8th & H St NW","2/21/2014 17:38","18th & M St NW","W00861","Registered"
"0h 2m 55s","1/17/2014 8:04","5th & K St NW","1/17/2014 8:07","3rd & H St NW","W00523","Registered"
"0h 10m 2s","3/10/2014 22:08","17th & Rhode Island Ave NW","3/10/2014 22:18","13th & U St NW","W20620","Registered"
"0h 5m 22s","2/4/2014 16:48","19th & E Street NW","2/4/2014 16:54","20th & L St NW","W20293","Registered"
"0h 5m 21s","2/16/2014 14:01","North Capitol St & F St NW","2/16/2014 14:06","M St & Delaware Ave NE","W21299","Registered"
"0h 5m 53s","3/23/2014 15:52","11th & M St NW","3/23/2014 15:58","8th & H St NW","W20141","Registered"
"0h 2m 48s","3/21/2014 8:25","5th & K St NW","3/21/2014 8:28","5th & F St NW","W20166","Registered"
"0h 7m 49s","3/5/2014 16:43","13th & D St NE","3/5/2014 16:50","8th & East Capitol St NE","W21301","Registered"
"0h 3m 9s","3/22/2014 11:53","1st & H St NW","3/22/2014 11:56","5th St & Massachusetts Ave NW","W01119","Registered"
"0h 9m 31s","2/1/2014 17:03","Van Ness Metro / UDC","2/1/2014 17:13","Idaho Ave & Newark St NW [on 2nd District patio]","W00928","Registered"
"0h 27m 40s","1/1/2014 12:20","11th & M St NW","1/1/2014 12:47","Lincoln Memorial","W21018","Casual"
"0h 5m 41s","1/12/2014 16:00","4th & East Capitol St NE","1/12/2014 16:06","Columbus Circle / Union Station","W00409","Registered"
"0h 3m 36s","3/18/2014 18:16","Columbus Circle / Union Station","3/18/2014 18:20","8th & F St NE","W00760","Registered"
"0h 8m 37s","1/5/2014 15:31","Metro Center / 12th & G St NW","1/5/2014 15:40","14th & Rhode Island Ave NW","W00567","Registered"
"0h 9m 15s","2/4/2014 7:19","5th & K St NW","2/4/2014 7:28","18th St & Pennsylvania Ave NW","W00798","Registered"
"0h 11m 43s","3/11/2014 14:03","10th St & Constitution Ave NW","3/11/2014 14:15","18th St & Pennsylvania Ave NW","W00165","Casual"
"1h 2m 26s","2/14/2014 15:35","4th & M St SW","2/14/2014 16:38","4th & M St SW","W20277","Registered"
"0h 22m 50s","1/2/2014 17:34","C & O Canal & Wisconsin Ave NW","1/2/2014 17:57","13th & U St NW","W20436","Registered"
"0h 5m 38s","3/20/2014 12:35","US Dept of State / Virginia Ave & 21st St NW","3/20/2014 12:41","25th St & Pennsylvania Ave NW","W00417","Registered"
"0h 7m 7s","2/11/2014 8:48","North Capitol St & F St NW","2/11/2014 8:55","8th & H St NW","W01376","Registered"
"0h 54m 3s","3/18/2014 15:17","19th & L St NW","3/18/2014 16:11","36th & Calvert St NW / Glover Park","W20204","Registered"
"0h 9m 29s","2/19/2014 8:17","California St & Florida Ave NW","2/19/2014 8:26","21st & M St NW","W00910","Registered"
"0h 9m 22s","1/27/2014 8:45","14th & V St NW","1/27/2014 8:54","17th & K St NW / Farragut Square","W21180","Registered"
"0h 3m 19s","2/22/2014 21:00","Eastern Market Metro / Pennsylvania Ave & 7th St SE","2/22/2014 21:04","Potomac & Pennsylvania Ave SE","W00743","Registered"
"0h 9m 37s","2/24/2014 16:55","37th & O St NW / Georgetown University","2/24/2014 17:04","25th St & Pennsylvania Ave NW","W21471","Registered"
"0h 8m 29s","1/20/2014 14:22","19th St & Pennsylvania Ave NW","1/20/2014 14:30","Georgetown Harbor / 30th St NW","W01123","Registered"
"0h 3m 29s","3/16/2014 13:13","13th & H St NE","3/16/2014 13:17","6th & H St NE","W01040","Registered"
"0h 2m 4s","3/24/2014 19:03","Connecticut Ave & Newark St NW / Cleveland Park","3/24/2014 19:05","3000 Connecticut Ave NW / National Zoo","W00978","Registered"
"0h 2m 19s","3/10/2014 7:03","15th St & Massachusetts Ave SE","3/10/2014 7:05","14th & D St SE","W20347","Registered"
"0h 13m 28s","3/27/2014 22:25","Calvert & Biltmore St NW","3/27/2014 22:39","7th & R St NW / Shaw Library","W00141","Registered"
"0h 7m 15s","2/27/2014 18:23","15th & P St NW","2/27/2014 18:30","14th & Belmont St NW","W20594","Registered"
"0h 48m 53s","3/14/2014 13:17","Wisconsin Ave & O St NW","3/14/2014 14:06","Jefferson Dr & 14th St SW","W01410","Casual"
"0h 23m 47s","2/6/2014 15:48","New Hampshire Ave & T St NW","2/6/2014 16:12","Massachusetts Ave & Dupont Circle NW","W00723","Casual"
"0h 3m 25s","3/24/2014 15:21","M St & New Jersey Ave SE","3/24/2014 15:25","3rd & G St SE","W21582","Registered"
"0h 12m 38s","2/3/2014 17:46","17th & K St NW","2/3/2014 17:59","8th & H St NW","W20716","Registered"
"0h 7m 35s","2/23/2014 10:52","New Hampshire Ave & T St NW","2/23/2014 10:59","7th & R St NW / Shaw Library","W00058","Registered"
"0h 7m 33s","2/26/2014 7:07","18th & M St NW","2/26/2014 7:15","20th St & Florida Ave NW","W21343","Registered"
"0h 4m 7s","3/10/2014 7:34","Columbia Rd & Belmont St NW","3/10/2014 7:38","Calvert St & Woodley Pl NW","W21356","Registered"
"0h 54m 16s","3/16/2014 17:32","Smithsonian / Jefferson Dr & 12th St SW","3/16/2014 18:26","Smithsonian / Jefferson Dr & 12th St SW","W20298","Casual"
"0h 11m 8s","2/15/2014 15:27","25th St & Pennsylvania Ave NW","2/15/2014 15:38","20th & E St NW","W00974","Registered"
"0h 10m 39s","3/21/2014 20:13","Washington Blvd & 7th St N","3/21/2014 20:23","Utah St & 11th St N ","W20833","Registered"
"0h 4m 52s","3/19/2014 9:14","Rhode Island Ave & V St NE","3/19/2014 9:19","Rhode Island Ave Metro","W01034","Registered"
"0h 6m 23s","3/20/2014 9:00","7th & R St NW / Shaw Library","3/20/2014 9:07","11th & K St NW","W20844","Registered"
"0h 5m 46s","2/25/2014 18:43","5th St & Massachusetts Ave NW","2/25/2014 18:48","Florida Ave & R St NW","W20460","Registered"
"0h 3m 38s","1/24/2014 14:22","14th & Rhode Island Ave NW","1/24/2014 14:26","17th & Rhode Island Ave NW","W21397","Registered"
"0h 7m 40s","2/17/2014 17:36","19th & L St NW","2/17/2014 17:43","New Hampshire Ave & T St NW","W20403","Registered"
"0h 0m 4s","3/14/2014 19:41","14th & Rhode Island Ave NW","3/14/2014 19:41","14th & Rhode Island Ave NW","W20125","Registered"
"0h 50m 21s","3/27/2014 18:17","19th St & Constitution Ave NW","3/27/2014 19:07","11th & K St NW","W21015","Casual"
"0h 8m 45s","2/26/2014 0:24","11th & F St NW","2/26/2014 0:33","New Jersey Ave & R St NW","W01267","Registered"
"0h 30m 13s","2/9/2014 13:25","Columbus Circle / Union Station","2/9/2014 13:56","Georgetown Harbor / 30th St NW","W21466","Registered"
"0h 5m 49s","3/8/2014 18:16","14th & D St SE","3/8/2014 18:22","13th & D St NE","W00734","Registered"
"0h 2m 46s","3/19/2014 7:35","Columbia Rd & Belmont St NW","3/19/2014 7:38","Calvert St & Woodley Pl NW","W01483","Registered"
"0h 3m 48s","3/28/2014 8:09","11th & Kenyon St NW","3/28/2014 8:13","11th & Kenyon St NW","W00655","Registered"
"0h 8m 51s","3/8/2014 16:45","1st & K St SE","3/8/2014 16:54","4th & M St SW","W21186","Registered"
"0h 36m 24s","3/22/2014 17:30","10th St & Constitution Ave NW","3/22/2014 18:06","Georgetown Harbor / 30th St NW","W21309","Casual"
"1h 5m 34s","3/14/2014 12:04","Arlington Blvd & N Queen St","3/14/2014 13:09","Smithsonian / Jefferson Dr & 12th St SW","W00983","Casual"
"0h 3m 14s","1/16/2014 18:22","Norfolk Ave & Fairmont St","1/16/2014 18:25","Battery Ln & Trolley Trail","W00308","Registered"
"0h 6m 32s","3/2/2014 14:09","Neal St & Trinidad Ave NE","3/2/2014 14:15","Columbus Circle / Union Station","W20045","Registered"
"0h 8m 8s","2/24/2014 6:56","New Hampshire Ave & T St NW","2/24/2014 7:04","24th & N St NW","W00872","Registered"
"0h 11m 34s","3/24/2014 18:26","19th & K St NW","3/24/2014 18:37","5th St & Massachusetts Ave NW","W21229","Registered"
"0h 14m 24s","3/20/2014 20:33","10th St & Constitution Ave NW","3/20/2014 20:47","8th & H St NW","W01041","Casual"
"0h 3m 16s","3/6/2014 9:26","3rd & H St NW","3/6/2014 9:30","4th & D St NW / Judiciary Square","W00803","Registered"
"0h 10m 5s","2/6/2014 9:02","Wisconsin Ave & O St NW","2/6/2014 9:12","17th & K St NW","W01474","Registered"
"0h 14m 50s","3/31/2014 14:06","14th & Rhode Island Ave NW","3/31/2014 14:21","Wisconsin Ave & O St NW","W21581","Registered"
"0h 4m 25s","3/11/2014 15:59","13th & D St NE","3/11/2014 16:03","Eastern Market / 7th & North Carolina Ave SE","W21492","Registered"
"0h 8m 9s","1/13/2014 6:14","25th St & Pennsylvania Ave NW","1/13/2014 6:22","37th & O St NW / Georgetown University","W01101","Registered"
"0h 4m 17s","3/29/2014 13:54","3rd & Elm St NW","3/29/2014 13:58","7th & R St NW / Shaw Library","W00835","Registered"
"0h 14m 10s","3/31/2014 15:32","21st St & Pennsylvania Ave NW","3/31/2014 15:46","C & O Canal & Wisconsin Ave NW","W00821","Casual"
"0h 3m 58s","2/4/2014 18:09","10th & Monroe St NE","2/4/2014 18:13","12th & Irving St NE","W20755","Registered"
"0h 7m 29s","3/12/2014 17:15","17th & K St NW","3/12/2014 17:23","14th & R St NW","W20057","Registered"
"0h 15m 2s","2/11/2014 17:25","Connecticut Ave & Tilden St NW","2/11/2014 17:40","Georgia Ave & Emerson St NW","W21436","Registered"
"0h 4m 59s","3/7/2014 9:37","5th St & Massachusetts Ave NW","3/7/2014 9:42","Metro Center / 12th & G St NW","W20087","Registered"
"0h 3m 39s","3/4/2014 21:29","New Jersey Ave & N St NW/Dunbar HS","3/4/2014 21:32","Florida Ave & R St NW","W21366","Registered"
"0h 21m 23s","2/25/2014 14:53","23rd & Eads St","2/25/2014 15:14","Hains Point/Buckeye & Ohio Dr SW","W00886","Registered"
"0h 4m 3s","3/11/2014 16:35","Calvert St & Woodley Pl NW","3/11/2014 16:39","18th St & Wyoming Ave NW","W20593","Registered"
"0h 5m 48s","1/9/2014 8:28","8th & H St NW","1/9/2014 8:34","6th St & Indiana Ave NW","W20793","Registered"
"0h 6m 55s","3/10/2014 20:07","19th & L St NW","3/10/2014 20:14","17th & Corcoran St NW","W21311","Registered"
"0h 14m 20s","2/16/2014 14:19","17th & Rhode Island Ave NW","2/16/2014 14:34","7th & T St NW","W21447","Registered"
"0h 7m 33s","2/17/2014 20:22","37th & O St NW / Georgetown University","2/17/2014 20:29","Lynn & 19th St North","W00306","Registered"
"0h 3m 46s","1/9/2014 8:01","3rd & Elm St NW","1/9/2014 8:05","7th & T St NW","W20265","Registered"
"0h 4m 34s","1/31/2014 17:06","25th St & Pennsylvania Ave NW","1/31/2014 17:10","Wisconsin Ave & O St NW","W20406","Registered"
"0h 12m 22s","3/22/2014 11:46","Adams Mill & Columbia Rd NW","3/22/2014 11:59","21st & I St NW","W00425","Registered"
"0h 1m 13s","1/27/2014 19:35","25th St & Pennsylvania Ave NW","1/27/2014 19:36","M St & Pennsylvania Ave NW","W20496","Registered"
"0h 2m 45s","1/16/2014 8:20","15th & East Capitol St NE","1/16/2014 8:23","19th & East Capitol St SE","W20723","Registered"
"0h 7m 33s","3/6/2014 9:02","Maryland & Independence Ave SW","3/6/2014 9:10","Columbus Circle / Union Station","W00117","Registered"
"0h 18m 28s","2/18/2014 11:26","14th & D St SE","2/18/2014 11:45","Columbus Circle / Union Station","W00272","Registered"
"0h 35m 42s","3/14/2014 14:42","Jefferson Dr & 14th St SW","3/14/2014 15:18","New York Ave & 15th St NW","W20609","Casual"
"0h 5m 26s","1/11/2014 18:54","21st & I St NW","1/11/2014 18:59","Kennedy Center","W20403","Registered"
"0h 6m 1s","2/3/2014 8:13","7th & R St NW / Shaw Library","2/3/2014 8:19","Thomas Circle","W00852","Registered"
"0h 20m 52s","1/13/2014 17:05","Maryland & Independence Ave SW","1/13/2014 17:26","Independence Ave & L'Enfant Plaza SW/DOE","W21173","Casual"
"0h 2m 50s","2/26/2014 17:06","4th & D St NW / Judiciary Square","2/26/2014 17:09","6th St & Indiana Ave NW","W20020","Registered"
"0h 5m 11s","3/1/2014 8:34","Park Rd & Holmead Pl NW","3/1/2014 8:40","14th & V St NW","W20766","Registered"
"0h 7m 22s","1/30/2014 16:33","N Veitch  & 20th St N","1/30/2014 16:41","Lynn & 19th St North","W00273","Casual"
"0h 7m 31s","3/1/2014 14:53","19th & E Street NW","3/1/2014 15:00","10th St & Constitution Ave NW","W00968","Registered"
"0h 2m 15s","1/30/2014 7:10","17th & Corcoran St NW","1/30/2014 7:12","17th & Rhode Island Ave NW","W20689","Registered"
"0h 9m 44s","2/18/2014 16:55","37th & O St NW / Georgetown University","2/18/2014 17:05","Lynn & 19th St North","W20600","Registered"
"0h 6m 15s","2/2/2014 12:19","New Hampshire Ave & T St NW","2/2/2014 12:26","10th & U St NW","W00050","Registered"
"0h 8m 25s","1/5/2014 19:49","Constitution Ave & 2nd St NW/DOL","1/5/2014 19:58","13th & D St NE","W01400","Registered"
"0h 13m 52s","1/3/2014 12:34","New Hampshire Ave & T St NW","1/3/2014 12:48","Convention Center / 7th & M St NW","W01217","Registered"
"0h 42m 36s","3/27/2014 20:33","Jefferson Dr & 14th St SW","3/27/2014 21:16","Columbia Rd & Belmont St NW","W20155","Casual"
"0h 4m 1s","3/25/2014 18:17","Columbus Circle / Union Station","3/25/2014 18:21","D St & Maryland Ave NE","W00450","Registered"
"0h 5m 44s","1/21/2014 7:55","Calvert St & Woodley Pl NW","1/21/2014 8:01","18th St & Wyoming Ave NW","W00247","Registered"
"0h 19m 15s","3/6/2014 16:51","Jefferson Dr & 14th St SW","3/6/2014 17:10","California St & Florida Ave NW","W21158","Registered"
"0h 28m 10s","1/20/2014 16:02","Jefferson Dr & 14th St SW","1/20/2014 16:30","Lincoln Memorial","W20816","Casual"
"0h 16m 20s","2/7/2014 11:53","17th & K St NW / Farragut Square","2/7/2014 12:09","10th & U St NW","W20573","Registered"
"0h 24m 27s","2/23/2014 12:44","Massachusetts Ave & Dupont Circle NW","2/23/2014 13:08","3rd & H St NE","W00165","Registered"
"0h 15m 15s","3/15/2014 17:36","California St & Florida Ave NW","3/15/2014 17:51","Convention Center / 7th & M St NW","W01384","Registered"
"0h 6m 6s","2/20/2014 13:33","Eastern Market Metro / Pennsylvania Ave & 7th St SE","2/20/2014 13:39","D St & Maryland Ave NE","W20674","Registered"
"0h 11m 19s","1/17/2014 18:34","20th St & Florida Ave NW","1/17/2014 18:45","7th & T St NW","W00040","Registered"
"0h 52m 53s","3/1/2014 13:27","New York Ave & 15th St NW","3/1/2014 14:20","Lincoln Memorial","W20219","Casual"
"0h 3m 22s","3/14/2014 12:44","Lamont & Mt Pleasant NW","3/14/2014 12:48","Park Rd & Holmead Pl NW","W00095","Registered"
"0h 3m 49s","1/9/2014 23:03","10th & U St NW","1/9/2014 23:07","14th & Belmont St NW","W00217","Registered"
"0h 11m 46s","2/26/2014 9:34","N Veitch & Key Blvd","2/26/2014 9:46","N Randolph St & Fairfax Dr","W21368","Registered"
"0h 5m 7s","2/24/2014 12:21","Eastern Market Metro / Pennsylvania Ave & 7th St SE","2/24/2014 12:26","D St & Maryland Ave NE","W20549","Registered"
"0h 10m 44s","3/20/2014 20:14","Massachusetts Ave & Dupont Circle NW","3/20/2014 20:25","8th & H St NW","W00751","Registered"
"0h 4m 7s","1/17/2014 13:04","Glebe Rd & 11th St N","1/17/2014 13:08","N Randolph St & Fairfax Dr","W20028","Registered"
"0h 30m 25s","1/22/2014 18:52","Kennedy Center","1/22/2014 19:22","Lamont & Mt Pleasant NW","W20079","Registered"
"0h 2m 54s","2/12/2014 16:11","27th & Crystal Dr","2/12/2014 16:14","S Glebe & Potomac Ave","W20511","Registered"
"0h 16m 2s","3/1/2014 23:44","3rd & D St SE","3/2/2014 0:00","3rd St & Pennsylvania Ave SE","W20032","Registered"
"0h 13m 25s","2/24/2014 17:44","37th & O St NW / Georgetown University","2/24/2014 17:57","Massachusetts Ave & Dupont Circle NW","W21426","Registered"
"0h 5m 23s","1/18/2014 10:15","15th & P St NW","1/18/2014 10:20","14th & V St NW","W21406","Registered"
"0h 24m 28s","3/31/2014 18:35","5th St & Massachusetts Ave NW","3/31/2014 18:59","15th St & Massachusetts Ave SE","W20895","Registered"
"0h 23m 25s","3/18/2014 20:32","Ward Circle / American University","3/18/2014 20:56","Columbia Rd & Belmont St NW","W21260","Registered"
"0h 3m 55s","1/8/2014 7:53","New Hampshire Ave & T St NW","1/8/2014 7:57","20th & O St NW / Dupont South","W00187","Registered"
"0h 14m 42s","1/25/2014 9:20","19th & L St NW","1/25/2014 9:34","7th & R St NW / Shaw Library","W21478","Registered"
"0h 18m 29s","2/18/2014 17:01","McPherson Square / 14th & H St NW","2/18/2014 17:20","North Capitol St & F St NW","W20350","Registered"
"0h 6m 54s","3/29/2014 0:48","11th & Kenyon St NW","3/29/2014 0:55","14th & V St NW","W00798","Registered"
"0h 12m 48s","1/15/2014 17:34","Jefferson Dr & 14th St SW","1/15/2014 17:46","New York Ave & 15th St NW","W20403","Casual"
"0h 12m 4s","2/2/2014 9:40","3rd St & Pennsylvania Ave SE","2/2/2014 9:52","5th St & Massachusetts Ave NW","W21590","Registered"
